1	17	N-	----GSM-	9538	Ἀβραὰμ	ἀβρααμ	αβρααμ	Ἀβραάμ			
1	17	P-	--------	7	ἕως	ἑως	εως	ἕως			
1	17	N-	----GSM-	9538	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ			
1	17	N-	----NPF-	13954	γενεαὶ	γενεαι	γενεαι	γενεά			
1	17	A-	----NPF-	13955	δεκατέσσαρες	δεκατεσσαρες	δεκατεσσαρες	δεκατέσσαρες			,
1	17	C-	--------	4	καὶ	και	και	καί			
1	17	P-	--------	7	ἀπὸ	ἀπο	απο	ἀπό			
1	17	N-	----GSM-	9538	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ			
1	17	P-	--------	7	ἕως	ἑως	εως	ἕως			
1	17	RA	----GSF-	10	τῆς	της	της	ὁ			
1	17	N-	----GSF-	13634	μετοικεσίας	μετοικεσιας	μετοικεσιας	μετοικεσία			
1	17	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών			
1	17	N-	----NPF-	13954	γενεαὶ	γενεαι	γενεαι	γενεά			
1	17	A-	----NPF-	13955	δεκατέσσαρες	δεκατεσσαρες	δεκατεσσαρες	δεκατέσσαρες			,
1	17	C-	--------	4	καὶ	και	και	καί			
1	17	P-	--------	7	ἀπὸ	ἀπο	απο	ἀπό			
1	17	RA	----GSF-	10	τῆς	της	της	ὁ			
1	17	N-	----GSF-	13634	μετοικεσίας	μετοικεσιας	μετοικεσιας	μετοικεσία			
1	17	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών			
1	17	P-	--------	7	ἕως	ἑως	εως	ἕως			
1	17	RA	----GSM-	10	τοῦ	του	του	ὁ			
1	17	N-	----GSM-	9538	χριστοῦ	χριστου	χριστου	Χριστός			
1	17	N-	----NPF-	13954	γενεαὶ	γενεαι	γενεαι	γενεά			
1	17	A-	----NPF-	13955	δεκατέσσαρες	δεκατεσσαρες	δεκατεσσαρες	δεκατέσσαρες			.
1	18	RA	----GSM-	10	Τοῦ	του	του	ὁ			
1	18	C-	--------	4	δὲ	δε	δε	δέ			
1	18	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς			
1	18	N-	----GSM-	9538	χριστοῦ	χριστου	χριστου	Χριστός			
